epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39583,1.23132,4.68347,1.20722,0.52813,0.1,0.25265,0.13856,1.20959,4.45969,1.44274,3.334e-05,3.334e-05,3.334e-05
2,11.213,1.2855,4.95449,1.27222,0.54933,0.3,0.25212,0.13873,1.20717,4.49046,1.43183,8.19747e-05,8.19747e-05,8.19747e-05
3,12.9257,1.26304,4.67034,1.2596,0.3971,0.55179,0.5552,0.3463,1.15512,3.80694,1.21657,0.000128959,0.000128959,0.000128959
4,15.4295,0.99936,2.9711,1.15875,0.56311,0.9,0.75536,0.50471,1.13498,3.80516,1.31954,0.000174293,0.000174293,0.000174293
5,18.2064,0.95797,2.31826,1.07433,0.62673,1,0.67958,0.49502,1.03145,3.793,1.23581,0.000217977,0.000217977,0.000217977
6,20.4472,0.95973,2.28471,1.17132,0.74843,0.94744,0.7802,0.59821,1.07209,3.07706,1.22462,0.00026001,0.00026001,0.00026001
7,22.245,0.93178,1.68077,1.11546,0.71538,0.93504,0.84562,0.62303,0.88619,2.5617,1.10173,0.000300393,0.000300393,0.000300393
8,24.0141,0.85062,1.28252,1.06965,0.77209,1,0.90643,0.66468,0.93424,2.71027,1.21234,0.000339126,0.000339126,0.000339126
9,25.8772,0.90247,1.43784,1.15945,0.48151,0.99609,0.77379,0.60205,0.87666,2.88351,1.12006,0.000376209,0.000376209,0.000376209
10,27.5701,0.96914,1.28676,1.05776,0.89088,0.89877,0.92833,0.67757,1.05328,1.79665,1.28343,0.000411641,0.000411641,0.000411641
11,29.3775,0.97603,1.31306,1.13246,0.86356,0.9,0.895,0.67615,0.93827,2.13341,1.17453,0.000445422,0.000445422,0.000445422
12,31.5536,0.93091,1.0455,1.05756,0.73536,0.9,0.91773,0.68889,0.9558,2.73877,1.14231,0.000477554,0.000477554,0.000477554
13,34.2012,1.056,1.27901,1.27104,0.73728,0.88774,0.92198,0.70603,0.89437,2.98628,1.14326,0.000508035,0.000508035,0.000508035
14,36.8055,0.96169,1.0088,1.14028,0.74473,1,0.97833,0.71481,0.9189,2.18588,1.13447,0.000536866,0.000536866,0.000536866
15,38.6111,1.0644,0.87503,1.15584,0.86707,0.99106,0.995,0.69215,1.07848,1.85422,1.23936,0.000564046,0.000564046,0.000564046
16,40.2775,0.83336,0.91543,1.06409,0.82509,0.78666,0.86677,0.63918,0.94811,1.93691,1.13941,0.000589576,0.000589576,0.000589576
17,42.0335,0.85193,0.81572,1.07909,0.91571,0.98286,0.97833,0.76736,0.98044,1.09206,1.1647,0.000613456,0.000613456,0.000613456
18,43.7693,0.89184,0.7836,1.03253,0.98838,0.92136,0.995,0.75496,1.00203,0.83095,1.21031,0.000635685,0.000635685,0.000635685
19,45.4157,0.87758,0.77736,1.04162,0.78373,0.89188,0.89556,0.70574,0.92092,1.57592,1.19254,0.000656265,0.000656265,0.000656265
20,47.1997,0.91643,0.77256,1.06061,0.90713,0.9,0.97833,0.78126,0.9424,1.08591,1.21257,0.000675193,0.000675193,0.000675193
21,49.5892,0.84078,0.69136,1.0339,0.95638,0.90748,0.995,0.72998,0.95087,1.10859,1.33041,0.000692472,0.000692472,0.000692472
22,52.044,0.79939,0.66828,1.01687,0.83694,0.99252,0.995,0.74184,1.0379,1.21142,1.3944,0.0007081,0.0007081,0.0007081
23,54.1544,0.89685,0.68394,1.07001,0.76526,0.8,0.83833,0.60877,1.03727,1.66832,1.3761,0.000722078,0.000722078,0.000722078
24,55.8079,0.86867,0.63541,1.06484,0.88889,0.9,0.9575,0.70585,1.01426,0.90634,1.34881,0.000734405,0.000734405,0.000734405
25,57.4181,0.77412,0.64294,1.02519,0.89027,1,0.995,0.75159,0.91983,0.76503,1.21881,0.000745082,0.000745082,0.000745082
26,59.0987,0.82621,0.63981,1.06612,0.86631,1,0.995,0.73223,1.02578,0.90421,1.3039,0.000754109,0.000754109,0.000754109
27,60.7088,0.85067,0.68752,1.03183,0.54636,0.9,0.85333,0.6379,1.02805,1.46153,1.28371,0.000761486,0.000761486,0.000761486
28,62.4036,0.73034,0.6652,1.03076,0.51774,0.96387,0.9175,0.6725,1.02935,2.61578,1.26566,0.000767212,0.000767212,0.000767212
29,64.1862,0.83842,0.80824,1.13616,0.51774,0.96387,0.9175,0.6725,1.02935,2.61578,1.26566,0.000771288,0.000771288,0.000771288
30,66.5345,0.7456,0.60244,0.97654,0.78981,0.7,0.64361,0.47892,1.04136,1.47118,1.33516,0.000773713,0.000773713,0.000773713
31,68.9233,0.8325,0.65158,1.04712,0.89561,1,0.97833,0.75681,1.03759,0.59552,1.40584,0.000774488,0.000774488,0.000774488
32,70.9287,0.83444,0.54845,1.02205,0.75745,0.8866,0.97833,0.733,0.95063,0.98724,1.20879,0.000773613,0.000773613,0.000773613
33,72.5506,0.82746,0.73547,1.03809,0.75745,0.8866,0.97833,0.733,0.95063,0.98724,1.20879,0.000771088,0.000771088,0.000771088
34,74.2459,0.78119,0.58174,0.99441,0.94174,1,0.995,0.7045,1.04849,0.61862,1.25348,0.000759318,0.000759318,0.000759318
35,75.8864,0.80608,0.56189,1.00671,0.9012,1,0.97833,0.72452,1.04698,0.65265,1.41226,0.000731813,0.000731813,0.000731813
36,77.567,0.759,0.53705,0.98747,0.98077,1,0.995,0.75317,1.01561,0.50319,1.36503,0.000704307,0.000704307,0.000704307
37,79.2285,0.7827,0.55307,1.04407,0.98077,1,0.995,0.75317,1.01561,0.50319,1.36503,0.000676802,0.000676802,0.000676802
38,81.205,0.80202,0.52434,1.01461,0.98211,1,0.995,0.71333,1.05422,0.49896,1.23223,0.000649297,0.000649297,0.000649297
39,83.6079,0.80043,0.54404,1.03815,0.9829,0.98327,0.995,0.71078,1.04154,0.53784,1.18654,0.000621791,0.000621791,0.000621791
40,86.114,0.7836,0.52517,0.96803,0.91544,0.99759,0.96167,0.69603,1.12372,0.70782,1.23924,0.000594286,0.000594286,0.000594286
41,87.7837,0.71524,0.49645,0.97697,0.91544,0.99759,0.96167,0.69603,1.12372,0.70782,1.23924,0.00056678,0.00056678,0.00056678
42,89.432,0.72463,0.46802,0.98541,0.87213,0.88283,0.9375,0.61973,1.17341,0.83216,1.37834,0.000539275,0.000539275,0.000539275
43,91.0855,0.72451,0.47712,0.9998,0.96519,1,0.995,0.75805,1.02935,0.55772,1.32937,0.000511769,0.000511769,0.000511769
44,92.7344,0.79707,0.54638,1.12276,0.98685,1,0.995,0.7531,0.94325,0.45069,1.24407,0.000484263,0.000484263,0.000484263
45,94.3371,0.84349,0.46071,1.02502,0.98685,1,0.995,0.7531,0.94325,0.45069,1.24407,0.000456758,0.000456758,0.000456758
46,96.0309,0.77709,0.48246,1.06947,0.96217,0.99151,0.995,0.74131,0.98214,0.42897,1.19964,0.000429253,0.000429253,0.000429253
47,98.2926,0.73556,0.44485,0.95264,0.97175,1,0.995,0.7481,1.03936,0.43347,1.26571,0.000401747,0.000401747,0.000401747
48,100.728,0.74283,0.41785,0.94042,0.98148,1,0.995,0.72503,1.08843,0.42238,1.28675,0.000374242,0.000374242,0.000374242
49,103.025,0.76041,0.4436,1.00679,0.98148,1,0.995,0.72503,1.08843,0.42238,1.28675,0.000346736,0.000346736,0.000346736
50,104.662,0.73882,0.44251,1.01364,0.98608,1,0.995,0.71086,1.01183,0.3911,1.21029,0.000319231,0.000319231,0.000319231
51,107.484,0.67473,0.40295,0.94377,0.97123,1,0.995,0.75334,0.92904,0.38803,1.17218,0.000291725,0.000291725,0.000291725
52,109.493,0.64416,0.39333,1.00815,0.95886,1,0.995,0.76061,0.90222,0.41395,1.20138,0.00026422,0.00026422,0.00026422
53,111.125,0.67073,0.43703,1.06392,0.95886,1,0.995,0.76061,0.90222,0.41395,1.20138,0.000236714,0.000236714,0.000236714
